,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Monthly_average_purchase,Monthly_cash_advance,Limit_usage,Pay_Min_Pay,segment
0,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2.0,1000.0,201.802084,139.50978700000002,0.0,12,7.95,0.0,0.040900749,1.4465084374331385,0
1,3202.467416,0.909091,0.0,0.0,0.0,6442.9454829999995,0.0,0.0,0.0,0.25,4,0.0,7000.0,4103.032596999999,1072.340217,0.22222199999999998,12,0.0,536.9121235833333,0.4574953451428571,3.8262414595236613,3
2,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12.0,7500.0,622.066742,627.284787,0.0,12,64.43083333333333,0.0,0.33268651493333334,0.9916815374640991,0
3,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1.0,7500.0,0.0,864.2065423050814,0.0,12,124.91666666666667,17.149001416666668,0.22222273893333333,0.0,0
4,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1.0,1200.0,678.334763,244.79123700000002,0.0,12,1.3333333333333333,0.0,0.6814286125,2.7710745340120155,0
5,1809.8287510000002,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8.0,1800.0,1400.05777,2407.246035,0.0,12,111.10666666666667,0.0,1.0054604172222223,0.5816014439919931,0
6,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64.0,13500.0,6354.314328,198.065894,1.0,12,590.9175,0.0,0.046463763407407405,32.081819841229205,1
7,1823.6527429999999,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12.0,2300.0,679.0650820000001,532.03399,0.0,12,36.35,0.0,0.7928924969565216,1.2763565763909184,0
8,1014.9264730000001,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5.0,7000.0,688.278568,311.963409,0.0,12,71.79083333333334,0.0,0.14498949614285717,2.206279801231432,0
9,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3.0,11000.0,1164.770591,100.302262,0.0,12,106.8,0.0,0.013838725,11.61260541661563,0
10,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12.0,1200.0,1083.301007,2172.697765,0.0,12,76.67666666666666,0.0,1.0776041158333334,0.4985971930615025,0
11,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6.0,2000.0,705.618627,155.549069,0.0,12,124.34833333333334,0.0,0.315397372,4.536308905841152,0
12,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0,26.0,3000.0,608.263689,490.20701299999996,0.25,12,268.1658333333333,0.0,0.5056428733333334,1.2408302469552799,1
13,921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0,26.0,7500.0,1655.891435,251.13798599999998,0.083333,12,178.16083333333333,0.0,0.12289244919999999,6.593552259354346,0
14,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1,0.0,3000.0,805.647974,989.962866,0.0,12,0.0,28.900949166666667,0.9242575780000001,0.8138163578349816,0
15,6886.213231000001,1.0,1611.7,0.0,1611.7,2301.4912670000003,0.5,0.0,0.5,0.166667,4,11.0,8000.0,1993.439277,2109.90649,0.0,12,134.30833333333334,191.7909389166667,0.8607766538750001,0.9447998223845456,0
16,2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3,0.0,3000.0,391.974562,376.579631,0.0,8,0.0,232.02289191666668,0.6906914513333333,1.040880944513964,2
17,41.089489,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0,8.0,2500.0,254.590662,73.203221,0.25,12,43.25,0.0,0.0164357956,3.477861472789565,0
18,1989.0722280000002,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0,9.0,13000.0,1720.837373,744.613395,0.0,12,42.02916666666667,0.0,0.15300555600000001,2.3110481016796642,0
19,3577.9709329999996,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0,12.0,4000.0,1053.980464,8626.691541090007,0.0,12,33.22,0.0,0.8944927332499999,0.11666691882478727,0
